Export of Imageset lab3 (ball annotations in bounding boxes)
[team|labvision1819]
[set|lab3]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::ball|frame1747.jpg|640|480|319|137|409|230|364.0|183.5|90|93
label::ball|frame1746.jpg|640|480|318|139|409|229|363.5|184.0|91|90
label::ball|frame1745.jpg|640|480|318|140|409|229|363.5|184.5|91|89
label::ball|frame1744.jpg|640|480|317|140|410|230|363.5|185.0|93|90
label::ball|frame1743.jpg|640|480|317|138|409|231|363.0|184.5|92|93
label::ball|frame1742.jpg|640|480|318|138|408|231|363.0|184.5|90|93
label::ball|frame1741.jpg|640|480|317|140|408|228|362.5|184.0|91|88
label::ball|frame1740.jpg|640|480|320|140|406|228|363.0|184.0|86|88
label::ball|frame1739.jpg|640|480|322|138|405|229|363.5|183.5|83|91
label::ball|frame1738.jpg|640|480|323|137|405|230|364.0|183.5|82|93
label::ball|frame1737.jpg|640|480|322|136|407|231|364.5|183.5|85|95
label::ball|frame1736.jpg|640|480|322|137|405|228|363.5|182.5|83|91
label::ball|frame1735.jpg|640|480|322|135|404|228|363.0|181.5|82|93
label::ball|frame1734.jpg|640|480|323|136|404|228|363.5|182.0|81|92
label::ball|frame1733.jpg|640|480|322|137|405|229|363.5|183.0|83|92
label::ball|frame1732.jpg|640|480|321|137|406|230|363.5|183.5|85|93
label::ball|frame1731.jpg|640|480|320|138|406|229|363.0|183.5|86|91
label::ball|frame1730.jpg|640|480|320|138|406|230|363.0|184.0|86|92
label::ball|frame1729.jpg|640|480|320|137|406|229|363.0|183.0|86|92
label::ball|frame1728.jpg|640|480|321|137|406|230|363.5|183.5|85|93
label::ball|frame1727.jpg|640|480|321|138|406|229|363.5|183.5|85|91
label::ball|frame1726.jpg|640|480|320|139|406|229|363.0|184.0|86|90
label::ball|frame1725.jpg|640|480|319|139|407|229|363.0|184.0|88|90
label::ball|frame1724.jpg|640|480|320|139|407|229|363.5|184.0|87|90
label::ball|frame1723.jpg|640|480|320|138|406|230|363.0|184.0|86|92
label::ball|frame1722.jpg|640|480|320|138|406|230|363.0|184.0|86|92
label::ball|frame1721.jpg|640|480|320|138|406|229|363.0|183.5|86|91
label::ball|frame1720.jpg|640|480|321|138|406|230|363.5|184.0|85|92
label::ball|frame1719.jpg|640|480|320|139|406|230|363.0|184.5|86|91
label::ball|frame1718.jpg|640|480|320|137|407|230|363.5|183.5|87|93
label::ball|frame1717.jpg|640|480|319|138|406|231|362.5|184.5|87|93
label::ball|frame1716.jpg|640|480|320|137|406|230|363.0|183.5|86|93
label::ball|frame1715.jpg|640|480|321|137|407|230|364.0|183.5|86|93
label::ball|frame1714.jpg|640|480|321|135|406|230|363.5|182.5|85|95
label::ball|frame1713.jpg|640|480|320|136|407|230|363.5|183.0|87|94
label::ball|frame1712.jpg|640|480|320|136|406|230|363.0|183.0|86|94
label::ball|frame1711.jpg|640|480|321|135|406|230|363.5|182.5|85|95
label::ball|frame1710.jpg|640|480|321|136|406|230|363.5|183.0|85|94
label::ball|frame1709.jpg|640|480|320|136|406|230|363.0|183.0|86|94
